resp_lat_mean,resp_lat_std,resp_lat_min,resp_lat_max,resp_lat_med,resp_lat_n,resp_lat_cv,overlap_ratio,interrupted_n,stop_delay_mean,stop_delay_std,stop_delay_min,stop_delay_max,stop_delay_med,stop_delay_n,silence_broken_by_caller,gap_mean,gap_std,gap_min,gap_max,gap_med,gap_n,caller_turn_mean,caller_turn_std,caller_turn_min,caller_turn_max,caller_turn_med,caller_turn_n,caller_turns,agent_turns,turn_ratio,dur,caller_turns_per_min,agent_turns_per_min,interrupted_n_per_min,silence_broken_by_caller_per_min,gap_n_per_min,resp_lat_n_per_min,anon_id,y,split
3.6215384615384614,1.0159788470984432,2.539999999999999,6.560000000000002,3.3999999999999915,13.0,0.2805378369857239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.643529411764707,0.779690294294665,1.4400000000000013,4.359999999999999,2.6599999999999966,17.0,4.857999999999997,3.6211429135012088,0.4200000000000017,11.36,3.030000000000001,10.0,10.0,19.0,0.5263157617728547,170.0,3.5294117647058822,6.705882352941176,0.0,3.176470588235294,6.0,4.588235294117647,call_0181ce113ebe,1,train
3.4499999999999993,2.023124646019947,0.8799999999999955,8.12,3.0899999999999963,12.0,0.5864127709006308,0.08523245214220584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.9953846153846124,0.7408582900374147,1.3199999999999932,4.020000000000003,1.8199999999999932,13.0,4.3880000000000035,6.3823331157187315,0.3200000000000074,21.64,1.7400000000000055,10.0,10.0,14.0,0.7142856632653098,128.0,4.6875,6.5625,0.0,2.34375,6.09375,5.625,call_018c9d3823ac,1,train
5.382105263157894,2.2509871026481005,2.280000000000001,9.700000000000003,5.039999999999992,19.0,0.4182353511034837,0.00899427636958295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.943529411764706,1.5019083592959923,1.3400000000000034,6.640000000000001,2.559999999999995,17.0,7.3379999999999965,5.9258379998106605,0.47999999999998977,20.980000000000004,6.129999999999992,10.0,10.0,24.0,0.41666664930555625,216.0,2.7777777777777777,6.666666666666666,0.0,2.5,4.722222222222222,5.277777777777778,call_01bf49059daf,1,train
4.262222222222224,1.8471345843872642,2.5,8.940000000000001,3.900000000000002,18.0,0.43337349737027875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.6458823529411757,0.8776644060736336,1.4600000000000009,5.019999999999996,2.559999999999995,17.0,2.4380000000000006,2.460933969045086,0.3999999999999915,7.600000000000001,1.1099999999999994,10.0,10.0,23.0,0.4347825897920613,149.0,4.026845637583892,9.261744966442953,0.0,3.6241610738255035,6.845637583892617,7.248322147651007,call_01c3806808d6,1,train
2.8566666666666665,1.67959320471754,1.7399999999999949,9.020000000000003,2.1300000000000026,18.0,0.5879554084348185,0.17790697674418585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.9771428571428569,0.7906666437232568,1.0799999999999983,4.780000000000001,1.8199999999999932,21.0,1.228571428571429,1.1095099120323182,0.3400000000000034,3.8400000000000034,0.6100000000000034,14.0,14.0,20.0,0.6999999650000017,109.0,7.706422018348624,11.009174311926605,0.0,4.4036697247706424,11.559633027522937,9.908256880733944,call_0294f969f98b,1,val
3.6536363636363647,2.0260520173133516,2.0999999999999943,9.199999999999989,2.6900000000000013,22.0,0.5545301341282753,0.08137044967880007,2.0,0.45999999999999375,0.3400000000000034,0.11999999999999034,0.7999999999999972,0.45999999999999375,2.0,11.0,2.265000000000001,0.6767828307514907,1.2399999999999949,4.460000000000001,2.289999999999999,20.0,1.7512500000000015,1.4165092437043947,0.21999999999999886,5.1800000000000015,1.3700000000000045,16.0,16.0,23.0,0.6956521436672981,146.0,6.575342465753425,9.45205479452055,0.8219178082191781,4.52054794520548,8.219178082191782,9.04109589041096,call_02c249d2f89d,1,train
4.752857142857143,2.2737835949656007,2.5,9.280000000000001,3.7300000000000004,14.0,0.47840342097791577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.6137500000000005,1.0035616261595497,1.1400000000000006,4.9,2.6499999999999986,16.0,3.305454545454546,2.5307575712220083,0.28000000000000114,8.339999999999998,3.200000000000003,11.0,11.0,14.0,0.7857142295918408,146.0,4.52054794520548,5.753424657534247,0.0,3.6986301369863015,6.575342465753425,5.753424657534247,call_02d28871d7b3,1,train
3.0872727272727185,1.627050264123226,1.5999999999999996,6.679999999999978,2.1799999999999926,11.0,0.5270184660822265,0.01620185922974775,1.0,6.760000000000005,0.0,6.760000000000005,6.760000000000005,6.760000000000005,1.0,8.0,2.5933333333333293,1.7272817437297894,1.4599999999999937,7.939999999999998,1.9399999999999977,15.0,7.530000000000003,7.244618692519295,0.4200000000000017,24.0,5.290000000000006,10.0,10.0,13.0,0.7692307100591762,174.0,3.4482758620689657,4.482758620689656,0.3448275862068966,2.7586206896551726,5.172413793103448,3.793103448275862,call_03680846967f,1,train
3.556000000000001,3.001883408795218,0.7999999999999972,9.200000000000003,1.8099999999999978,20.0,0.844173949556037,0.009744214372715998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.4485714285714282,0.5940521519055983,1.0200000000000031,3.0999999999999943,1.149999999999995,14.0,3.283999999999998,1.8775899445832143,0.3199999999999932,5.619999999999997,4.13999999999999,10.0,10.0,32.0,0.3124999902343753,185.0,3.243243243243243,10.378378378378377,0.0,1.9459459459459458,4.54054054054054,6.486486486486486,call_04d682ac0cef,0,train
3.9894117647058804,2.3272313027140603,0.7600000000000051,9.199999999999996,3.3200000000000074,17.0,0.5833518464930353,0.03374329864396092,3.0,1.4333333333333325,0.5208539995899871,0.7000000000000028,1.8599999999999994,1.7399999999999949,3.0,11.0,2.1776470588235277,0.8015832084932958,1.1599999999999966,4.099999999999994,2.26,17.0,2.3488888888888884,1.3631807394454578,0.5,5.719999999999999,2.0,27.0,27.0,19.0,1.4210525567867074,169.0,9.585798816568047,6.745562130177515,1.0650887573964496,3.9053254437869818,6.035502958579881,6.035502958579881,call_05d6615469e1,1,train
